team_abbr,league,full_name,espn_id,logo_url,primary_color,secondary_color,competition
NIC,France,Nice,2502,https://a.espncdn.com/i/teamlogos/soccer/500/2502.png,#ef2f24,#e2d3d7,fra.1
PSG,France,Paris Saint-Germain,160,https://a.espncdn.com/i/teamlogos/soccer/500/160.png,#011F68,#ffffff,fra.1
SRE,France,Stade de Reims,3243,https://a.espncdn.com/i/teamlogos/soccer/500/3243.png,#ef2f24,#0000bf,fra.1
SREN,France,Stade Rennais,169,https://a.espncdn.com/i/teamlogos/soccer/500/169.png,#ef2f24,#ffffff,fra.1
STR,France,Strasbourg,180,https://a.espncdn.com/i/teamlogos/soccer/500/180.png,#0000bf,#ffffff,fra.1
TOU,France,Toulouse,179,https://a.espncdn.com/i/teamlogos/soccer/500/179.png,#560080,#ffff00,fra.1
AUG,Germany,FC Augsburg,3841,https://a.espncdn.com/i/teamlogos/soccer/500/3841.png,#ffffff,#03915c,ger.1
BAY,Germany,Bayern Munich,132,https://a.espncdn.com/i/teamlogos/soccer/500/132.png,#dc052d,#1a1a1a,ger.1
BMG,Germany,Borussia Mönchengladbach,268,https://a.espncdn.com/i/teamlogos/soccer/500/268.png,#ffffff,#03915c,ger.1
BVB,Germany,Borussia Dortmund,124,https://a.espncdn.com/i/teamlogos/soccer/500/124.png,#ffee00,#272726,ger.1
COL,Germany,FC Cologne,122,https://a.espncdn.com/i/teamlogos/soccer/500/122.png,#ffffff,#DA0308,ger.1
DAR,Germany,SV Darmstadt 98,3812,https://a.espncdn.com/i/teamlogos/soccer/500/3812.png,#003399,#fafafc,ger.1
EIN,Germany,Eintracht Frankfurt,125,https://a.espncdn.com/i/teamlogos/soccer/500/125.png,#ffffff,#272726,ger.1
ELV,Germany,SV Elversberg,10388,https://a.espncdn.com/i/teamlogos/soccer/500/10388.png,#000000,#FFFFFF,ger.2
FDÜ,Germany,Fortuna Düsseldorf,9707,https://a.espncdn.com/i/teamlogos/soccer/500/9707.png,#ffffff,#1a1a1a,ger.2
HAM,Germany,Hamburg SV,127,https://a.espncdn.com/i/teamlogos/soccer/500/127.png,#1a26af,#1a1a1a,ger.2
HAN,Germany,Hannover 96,2428,https://a.espncdn.com/i/teamlogos/soccer/500/2428.png,#179D33,#1a1a1a,ger.2
HBE,Germany,Hertha Berlin,129,https://a.espncdn.com/i/teamlogos/soccer/500/129.png,#0000dd,#091453,ger.2
HEI,Germany,1. FC Heidenheim 1846,6418,https://a.espncdn.com/i/teamlogos/soccer/500/6418.png,#DA0308,#003399,ger.1
HKI,Germany,Holstein Kiel,7884,https://a.espncdn.com/i/teamlogos/soccer/500/7884.png,#0754ba,#f9fbfc,ger.2
HRO,Germany,Hansa Rostock,128,https://a.espncdn.com/i/teamlogos/soccer/500/128.png,#324CBA,#C60000,ger.2
KAI,Germany,Kaiserslautern,130,https://a.espncdn.com/i/teamlogos/soccer/500/130.png,#8C273D,#1a1a1a,ger.2
KSC,Germany,Karlsruher SC,4471,https://a.espncdn.com/i/teamlogos/soccer/500/4471.png,#2563B8,#2563B8,ger.2
LEV,Germany,Bayer Leverkusen,131,https://a.espncdn.com/i/teamlogos/soccer/500/131.png,#DA0308,#f9fbfc,ger.1
MAG,Germany,1. FC Magdeburg,10382,https://a.espncdn.com/i/teamlogos/soccer/500/10382.png,#0068B2,#ffffff,ger.2
MAI,Germany,Mainz,2950,https://a.espncdn.com/i/teamlogos/soccer/500/2950.png,#DA0308,#000055,ger.1
NÜR,Germany,1. FC Nürnberg,269,https://a.espncdn.com/i/teamlogos/soccer/500/269.png,#9f0000,#1a1a1a,ger.2
PMÜ,Germany,Preußen Münster,9867,https://a.espncdn.com/i/teamlogos/soccer/500/9867.png,#000000,#C60000,ger.2
RBL,Germany,RB Leipzig,11420,https://a.espncdn.com/i/teamlogos/soccer/500/11420.png,#ffffff,#740c14,ger.1
S04,Germany,Schalke 04,133,https://a.espncdn.com/i/teamlogos/soccer/500/133.png,#0000dd,#ffffff,ger.2
SCP,Germany,SC Paderborn 07,3307,https://a.espncdn.com/i/teamlogos/soccer/500/3307.png,#0000dd,#ffffff,ger.2
SFR,Germany,SC Freiburg,126,https://a.espncdn.com/i/teamlogos/soccer/500/126.png,#DA0308,#ffffff,ger.1
SGR,Germany,SpVgg Greuther Fürth,3070,https://a.espncdn.com/i/teamlogos/soccer/500/3070.png,#288A00,#1a1a1a,ger.2
SJA,Germany,SSV Jahn Regensburg,11017,https://a.espncdn.com/i/teamlogos/soccer/500/11017.png,#ce1b0e,#f9f9f9,ger.2
STP,Germany,St. Pauli,270,https://a.espncdn.com/i/teamlogos/soccer/500/270.png,#442e23,#ffffff,ger.2
STU,Germany,VfB Stuttgart,134,https://a.espncdn.com/i/teamlogos/soccer/500/134.png,#ffffff,#DA0308,ger.1
SUL,Germany,SSV Ulm 1846,15710,https://a.espncdn.com/i/teamlogos/soccer/500/15710.png,#000000,#C60000,ger.2
TEI,Germany,TSV Eintracht Braunschweig,3067,https://a.espncdn.com/i/teamlogos/soccer/500/3067.png,#ffde16,#1a1a1a,ger.2
THO,Germany,TSG Hoffenheim,7911,https://a.espncdn.com/i/teamlogos/soccer/500/7911.png,#003399,#000055,ger.1
UBE,Germany,1. FC Union Berlin,598,https://a.espncdn.com/i/teamlogos/soccer/500/598.png,#DA0308,#d4d4d4,ger.1
VBO,Germany,VfL Bochum,121,https://a.espncdn.com/i/teamlogos/soccer/500/121.png,#000055,#aac4f2,ger.1
VOS,Germany,VfL Osnabruck,7013,https://a.espncdn.com/i/teamlogos/soccer/500/7013.png,#000000,#000000,ger.2
WBR,Germany,Werder Bremen,137,https://a.espncdn.com/i/teamlogos/soccer/500/137.png,#03915c,#ffffff,ger.1
WOB,Germany,VfL Wolfsburg,138,https://a.espncdn.com/i/teamlogos/soccer/500/138.png,#81f733,#1a1a1a,ger.1
WWI,Germany,SV Wehen Wiesbaden,3769,https://a.espncdn.com/i/teamlogos/soccer/500/3769.png,#000000,#000000,ger.2
ATA,Italy,Atalanta,105,https://a.espncdn.com/i/teamlogos/soccer/500/105.png,#1157bf,#ffffff,ita.1
BOL,Italy,Bologna,107,https://a.espncdn.com/i/teamlogos/soccer/500/107.png,#04043d,#ffffff,ita.1
CAG,Italy,Cagliari,2925,https://a.espncdn.com/i/teamlogos/soccer/500/2925.png,#282846,#ffffff,ita.1
EMP,Italy,Empoli,2574,https://a.espncdn.com/i/teamlogos/soccer/500/2574.png,#005bdd,#ffffff,ita.1
FIO,Italy,Fiorentina,109,https://a.espncdn.com/i/teamlogos/soccer/500/109.png,#4c1d84,#ffffff,ita.1
FRO,Italy,Frosinone,4057,https://a.espncdn.com/i/teamlogos/soccer/500/4057.png,#ffff00,#ffffff,ita.1
GEN,Italy,Genoa,3263,https://a.espncdn.com/i/teamlogos/soccer/500/3263.png,#08305d,#ffffff,ita.1
HVE,Italy,Hellas Verona,119,https://a.espncdn.com/i/teamlogos/soccer/500/119.png,#00239c,#ffffff,ita.1
INT,Italy,Internazionale,110,https://a.espncdn.com/i/teamlogos/soccer/500/110.png,#00239c,#ffffff,ita.1
JUV,Italy,Juventus,111,https://a.espncdn.com/i/teamlogos/soccer/500/111.png,#000000,#ffef32,ita.1
LAZ,Italy,Lazio,112,https://a.espncdn.com/i/teamlogos/soccer/500/112.png,#74bde7,#ffef32,ita.1
LEC,Italy,Lecce,113,https://a.espncdn.com/i/teamlogos/soccer/500/113.png,#e4002b,#08305d,ita.1
MIL,Italy,AC Milan,103,https://a.espncdn.com/i/teamlogos/soccer/500/103.png,#e4002b,#ffffff,ita.1
MONI,Italy,Monza,4007,https://a.espncdn.com/i/teamlogos/soccer/500/4007.png,#C8142F,#ffffff,ita.1
NAP,Italy,Napoli,114,https://a.espncdn.com/i/teamlogos/soccer/500/114.png,#0677d2,#ffffff,ita.1
ROM,Italy,AS Roma,104,https://a.espncdn.com/i/teamlogos/soccer/500/104.png,#990a2c,#eae9e7,ita.1
SAL,Italy,Salernitana,3240,https://a.espncdn.com/i/teamlogos/soccer/500/3240.png,#990000,#ffffff,ita.1
SAS,Italy,Sassuolo,3997,https://a.espncdn.com/i/teamlogos/soccer/500/3997.png,#0fa653,#000000,ita.1
TOR,Italy,Torino,239,https://a.espncdn.com/i/teamlogos/soccer/500/239.png,#9f0000,#ffffff,ita.1
UDI,Italy,Udinese,118,https://a.espncdn.com/i/teamlogos/soccer/500/118.png,#19161D,#ffef32,ita.1
AMÉ,Mexico,América,227,https://a.espncdn.com/i/teamlogos/soccer/500/227.png,#ffff91,#001C58,mex.1
ASAN,Mexico,Atlético de San Luis,15720,https://a.espncdn.com/i/teamlogos/soccer/500/15720.png,#EF0107,#dfa829,mex.1
ATL,Mexico,Atlas,216,https://a.espncdn.com/i/teamlogos/soccer/500/216.png,#EF0107,#e1e1e1,mex.1
CAZ,Mexico,Cruz Azul,218,https://a.espncdn.com/i/teamlogos/soccer/500/218.png,#0000ff,#ffffff,mex.1
GUA,Mexico,Guadalajara,219,https://a.espncdn.com/i/teamlogos/soccer/500/219.png,#EF0107,#104e8a,mex.1
JUA,Mexico,FC Juarez,17851,https://a.espncdn.com/i/teamlogos/soccer/500/17851.png,#89f442,#ffffff,mex.1
LEÓ,Mexico,León,228,https://a.espncdn.com/i/teamlogos/soccer/500/228.png,#008000,#FFF61B,mex.1
MAZ,Mexico,Mazatlán FC,20702,https://a.espncdn.com/i/teamlogos/soccer/500/20702.png,#9400D3,#000000,mex.1
MTY,Mexico,Monterrey,220,https://a.espncdn.com/i/teamlogos/soccer/500/220.png,#001C58,#ffffff,mex.1
NEC,Mexico,Necaxa,229,https://a.espncdn.com/i/teamlogos/soccer/500/229.png,#EF0107,#000000,mex.1
PAC,Mexico,Pachuca,234,https://a.espncdn.com/i/teamlogos/soccer/500/234.png,#001C58,#02b0d0,mex.1
PUE,Mexico,Puebla,231,https://a.espncdn.com/i/teamlogos/soccer/500/231.png,#ffffff,#0032a8,mex.1
PUM,Mexico,Pumas UNAM,233,https://a.espncdn.com/i/teamlogos/soccer/500/233.png,#ffffff,#060040,mex.1
QUE,Mexico,Querétaro,222,https://a.espncdn.com/i/teamlogos/soccer/500/222.png,#212121,#02b0d0,mex.1
SAN,Mexico,Santos,225,https://a.espncdn.com/i/teamlogos/soccer/500/225.png,#15926d,#00331b,mex.1
TIJ,Mexico,Tijuana,10125,https://a.espncdn.com/i/teamlogos/soccer/500/10125.png,#EF0107,#e1e1e1,mex.1
TOL,Mexico,Toluca,223,https://a.espncdn.com/i/teamlogos/soccer/500/223.png,#EF0107,#ffffff,mex.1
TUA,Mexico,Tigres UANL,232,https://a.espncdn.com/i/teamlogos/soccer/500/232.png,#ffd011,#0000ff,mex.1
AAL,Netherlands,AZ Alkmaar,140,https://a.espncdn.com/i/teamlogos/soccer/500/140.png,#ef2f24,#ffffff,ned.1
ACI,Netherlands,Almere City,5291,https://a.espncdn.com/i/teamlogos/soccer/500/5291.png,#C60000,#9df9f7,ned.1
AJA,Netherlands,Ajax Amsterdam,139,https://a.espncdn.com/i/teamlogos/soccer/500/139.png,#DF1B27,#4d6286,ned.1
EXC,Netherlands,Excelsior,2566,https://a.espncdn.com/i/teamlogos/soccer/500/2566.png,#000000,#b41226,ned.1
FEY,Netherlands,Feyenoord Rotterdam,142,https://a.espncdn.com/i/teamlogos/soccer/500/142.png,#ef2f24,#000000,ned.1
FSI,Netherlands,Fortuna Sittard,143,https://a.espncdn.com/i/teamlogos/soccer/500/143.png,#FCEE33,#ffffff,ned.1
GAH,Netherlands,Go Ahead Eagles,3706,https://a.espncdn.com/i/teamlogos/soccer/500/3706.png,#F80017,#8f0058,ned.1
HAL,Netherlands,Heracles Almelo,3708,https://a.espncdn.com/i/teamlogos/soccer/500/3708.png,#000000,#ffffff,ned.1
HEE,Netherlands,Heerenveen,146,https://a.espncdn.com/i/teamlogos/soccer/500/146.png,#003eff,#1a316b,ned.1
NNI,Netherlands,NEC Nijmegen,147,https://a.espncdn.com/i/teamlogos/soccer/500/147.png,#ef2f24,#84aee7,ned.1
PSV,Netherlands,PSV Eindhoven,148,https://a.espncdn.com/i/teamlogos/soccer/500/148.png,#ef2f24,#000000,ned.1
PZW,Netherlands,PEC Zwolle,2565,https://a.espncdn.com/i/teamlogos/soccer/500/2565.png,#0000d4,#000000,ned.1
RWA,Netherlands,RKC Waalwijk,155,https://a.espncdn.com/i/teamlogos/soccer/500/155.png,#0c57f2,#84aee7,ned.1
SRO,Netherlands,Sparta Rotterdam,151,https://a.espncdn.com/i/teamlogos/soccer/500/151.png,#F31522,#84aee7,ned.1
TWE,Netherlands,FC Twente,152,https://a.espncdn.com/i/teamlogos/soccer/500/152.png,#F31522,#9df9f7,ned.1
UTR,Netherlands,FC Utrecht,153,https://a.espncdn.com/i/teamlogos/soccer/500/153.png,#F31522,#1a316b,ned.1
VIT,Netherlands,Vitesse,154,https://a.espncdn.com/i/teamlogos/soccer/500/154.png,#FCEE33,#ffffff,ned.1
VOL,Netherlands,FC Volendam,2727,https://a.espncdn.com/i/teamlogos/soccer/500/2727.png,#F7AA25,#9de1ff,ned.1
AROP,Portugal,Arouca,15784,https://a.espncdn.com/i/teamlogos/soccer/500/15784.png,#ffea01,#293dc2,por.1
BEN,Portugal,Benfica,1929,https://a.espncdn.com/i/teamlogos/soccer/500/1929.png,#ca281d,#1a1a1a,por.1
BOA,Portugal,Boavista,2256,https://a.espncdn.com/i/teamlogos/soccer/500/2256.png,#1a1a1a,#cdcdcd,por.1
BRA,Portugal,Braga,2994,https://a.espncdn.com/i/teamlogos/soccer/500/2994.png,#de1f26,#2b6a36,por.1
CPI,Portugal,Casa Pia,21581,https://a.espncdn.com/i/teamlogos/soccer/500/21581.png,#000000,#C60000,por.1
EST,Portugal,Estrela,21610,https://a.espncdn.com/i/teamlogos/soccer/500/21610.png,#3B8132,#DE0A26,por.1
FAM,Portugal,FC Famalicao,12698,https://a.espncdn.com/i/teamlogos/soccer/500/12698.png,#FFFFFF,#183760,por.1
GCH,Portugal,GD Chaves,12705,https://a.espncdn.com/i/teamlogos/soccer/500/12705.png,#288A00,#005099,por.1
GVI,Portugal,Gil Vicente,3699,https://a.espncdn.com/i/teamlogos/soccer/500/3699.png,#de1f26,#FFFFFF,por.1
MOR,Portugal,Moreirense,3696,https://a.espncdn.com/i/teamlogos/soccer/500/3696.png,#288A00,#000000,por.1
POR,Portugal,Portimonense,3719,https://a.espncdn.com/i/teamlogos/soccer/500/3719.png,#000000,#ffea01,por.1
RAV,Portugal,Rio Ave,3822,https://a.espncdn.com/i/teamlogos/soccer/500/3822.png,#3b8649,#FF621A,por.1
SFA,Portugal,SC Farense,20740,https://a.espncdn.com/i/teamlogos/soccer/500/20740.png,#000000,#C60000,por.1
SPO,Portugal,Sporting CP,2250,https://a.espncdn.com/i/teamlogos/soccer/500/2250.png,#008127,#ffffff,por.1
