name,country,season_year,matches_won,matches_lost,titles,grand_slams,headshot
Nikoloz Basilashvili,GEO,2019,28,24,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Basilashvili_RG18_%2828110477447%29.jpg/330px-Basilashvili_RG18_%2828110477447%29.jpg
Stan Wawrinka,SUI,2019,33,20,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Wawrinka_RG19_%2816%29_%2848199015787%29.jpg/330px-Wawrinka_RG19_%2816%29_%2848199015787%29.jpg
Dusan Lajovic,SRB,2019,21,27,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Lajovic_MCM22_%2824%29_%2852036456588%29.jpg/330px-Lajovic_MCM22_%2824%29_%2852036456588%29.jpg
Marton Fucsovics,HUN,2019,23,26,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/M%C3%A1rton_Fucsovics_%282023_US_Open%29_01_%28cropped%29.jpg/330px-M%C3%A1rton_Fucsovics_%282023_US_Open%29_01_%28cropped%29.jpg
Andrey Rublev,RUS,2019,38,19,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Andrey_Rublev_%282023_US_Open%29_02_%28cropped%29.jpg/330px-Andrey_Rublev_%282023_US_Open%29_02_%28cropped%29.jpg
Nicolas Jarry,CHI,2019,19,21,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Nicol%C3%A1s_Jarry_%282023_US_Open%29_05_%28cropped%29.jpg/330px-Nicol%C3%A1s_Jarry_%282023_US_Open%29_05_%28cropped%29.jpg
Guillermo Garcia Lopez,ESP,2019,6,10,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Garcia_Lopez_WM18_%285%29_%2842123372620%29.jpg/330px-Garcia_Lopez_WM18_%285%29_%2842123372620%29.jpg
Ricardas Berankis,LTU,2019,9,12,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Berankis_MLC21_%282%29_%2851601462247%29.jpg/330px-Berankis_MLC21_%282%29_%2851601462247%29.jpg
Guido Pella,ARG,2019,36,26,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Pella_RG19_%282%29_%2848199164037%29.jpg/330px-Pella_RG19_%282%29_%2848199164037%29.jpg
Fernando Verdasco,ESP,2019,26,27,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Verdasco_RGQ22_%287%29_%2852129516961%29.jpg/330px-Verdasco_RGQ22_%287%29_%2852129516961%29.jpg
Maximilian Marterer,GER,2019,5,11,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Marterer_WMQ23_%2853061122527%29.jpg/330px-Marterer_WMQ23_%2853061122527%29.jpg
Damir Dzumhur,BIH,2019,13,22,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Dzumhur_WMQ23_%2853062101320%29.jpg/330px-Dzumhur_WMQ23_%2853062101320%29.jpg
Marius Copil,ROU,2019,8,20,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Copil_WMQ16_%28cropped%29.jpg/330px-Copil_WMQ16_%28cropped%29.jpg
Andreas Seppi,ITA,2019,19,24,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Seppi_MLC21_%282%29.jpg/330px-Seppi_MLC21_%282%29.jpg
