name,country,season_year,matches_won,matches_lost,titles,grand_slams,headshot
Felix Auger Aliassime,CAN,2020,23,19,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/F%C3%A9lix_Auger-Aliassime_%282023_DC_Open%29_01_%28cropped%29.jpg/330px-F%C3%A9lix_Auger-Aliassime_%282023_DC_Open%29_01_%28cropped%29.jpg
Diego Schwartzman,ARG,2020,25,16,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Schwartzman_WM19_%2824%29_%2848521748281%29.jpg/330px-Schwartzman_WM19_%2824%29_%2848521748281%29.jpg
Guido Pella,ARG,2020,7,10,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Pella_RG19_%282%29_%2848199164037%29.jpg/330px-Pella_RG19_%282%29_%2848199164037%29.jpg
Cameron Norrie,GBR,2020,9,13,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Norrie_MCM23_%2817%29_%2852883520940%29.jpg/330px-Norrie_MCM23_%2817%29_%2852883520940%29.jpg
David Goffin,BEL,2020,12,11,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/David_Goffin_%282024_DC_Open%29_03_%28cropped%29.jpg/330px-David_Goffin_%282024_DC_Open%29_03_%28cropped%29.jpg
Gael Monfils,FRA,2020,16,7,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Gael_Monfils_%282025_DC_Open%29_01_%28cropped%29.jpg/330px-Gael_Monfils_%282025_DC_Open%29_01_%28cropped%29.jpg
Benoit Paire,FRA,2020,10,13,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Paire_WMQ23_%2853061698501%29.jpg/330px-Paire_WMQ23_%2853061698501%29.jpg
Cristian Garin,CHI,2020,18,12,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Garin_WM19_%281%29_%2848521991327%29.jpg/330px-Garin_WM19_%281%29_%2848521991327%29.jpg
Gilles Simon,FRA,2020,11,12,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Simon_WMQ22_%2821%29_%2852191360834%29.jpg/330px-Simon_WMQ22_%2821%29_%2852191360834%29.jpg
Yoshihito Nishioka,JPN,2020,14,12,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Yoshi_Nishioka_%282023_DC_Open%29_05.jpg/330px-Yoshi_Nishioka_%282023_DC_Open%29_05.jpg
Nikoloz Basilashvili,GEO,2020,4,13,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Basilashvili_RG18_%2828110477447%29.jpg/330px-Basilashvili_RG18_%2828110477447%29.jpg
Pablo Cuevas,URU,2020,8,14,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Pablo_Cuevas_%2847980143553%29_%28cropped%29.jpg/330px-Pablo_Cuevas_%2847980143553%29_%28cropped%29.jpg
Grigor Dimitrov,BUL,2020,19,11,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Grigor_Dimitrov_%282023_DC_Open%29_01.jpg/330px-Grigor_Dimitrov_%282023_DC_Open%29_01.jpg
Radu Albot,MDA,2020,7,13,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Radu_Albot_%282023_DC_Open%29_38_%28cropped%29.jpg/330px-Radu_Albot_%282023_DC_Open%29_38_%28cropped%29.jpg
Fabio Fognini,ITA,2020,5,10,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Fabio_Fognini_2018_US_Open_%28cropped%29.jpg/330px-Fabio_Fognini_2018_US_Open_%28cropped%29.jpg
Stefano Travaglia,ITA,2020,6,10,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Travaglia_WMQ18_%288%29_%2829680358098%29.jpg/330px-Travaglia_WMQ18_%288%29_%2829680358098%29.jpg
John Isner,USA,2020,10,10,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Isner_WM19_%2818%29_%2848522000702%29.jpg/330px-Isner_WM19_%2818%29_%2848522000702%29.jpg
Taylor Fritz,USA,2020,14,15,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Taylor_Fritz_-_Delray_Beach_Open_Final_Round_%28cropped%29.jpg/330px-Taylor_Fritz_-_Delray_Beach_Open_Final_Round_%28cropped%29.jpg
Casper Ruud,NOR,2020,22,13,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Ruud_RG22_%2858%29_%2852144535415%29.jpg/330px-Ruud_RG22_%2858%29_%2852144535415%29.jpg
Borna Coric,CRO,2020,16,12,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Coric_RG22_%2840%29_%2852144326399%29.jpg/330px-Coric_RG22_%2840%29_%2852144326399%29.jpg
Dominic Thiem,AUT,2020,25,9,1,1,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Thiem_MCM23_%2861%29_%2852883593873%29.jpg/330px-Thiem_MCM23_%2861%29_%2852883593873%29.jpg
Marin Cilic,CRO,2020,15,12,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Cilic_MCM22_%2822%29_%2852036669749%29.jpg/330px-Cilic_MCM22_%2822%29_%2852036669749%29.jpg
Dennis Novak,AUT,2020,6,12,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Novak_RGQ22_%2814%29_%2852130042560%29.jpg/330px-Novak_RGQ22_%2814%29_%2852130042560%29.jpg
Hubert Hurkacz,POL,2020,15,13,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Hubi_Hurkacz_%282023_DC_Open%29_01.jpg/330px-Hubi_Hurkacz_%282023_DC_Open%29_01.jpg
Stefanos Tsitsipas,GRE,2020,30,14,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Tsitsipas_S._MCM22_%28cropped%29.jpg/330px-Tsitsipas_S._MCM22_%28cropped%29.jpg
Alexander Zverev,GER,2020,28,11,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Alexander_Zverev.jpg/330px-Alexander_Zverev.jpg
Jan Lennard Struff,GER,2020,15,15,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Struff_MCM23_%2837%29_%2852883307264%29.jpg/330px-Struff_MCM23_%2837%29_%2852883307264%29.jpg
John Millman,AUS,2020,18,13,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Millman_WM19_%2817%29_%2848521959092%29.jpg/330px-Millman_WM19_%2817%29_%2848521959092%29.jpg
Andrey Rublev,RUS,2020,41,10,5,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Andrey_Rublev_%282023_US_Open%29_02_%28cropped%29.jpg/330px-Andrey_Rublev_%282023_US_Open%29_02_%28cropped%29.jpg
Corentin Moutet,FRA,2020,10,11,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Corentin_Moutet_%282025_DC_Open%29_01_%28cropped%29.jpg/330px-Corentin_Moutet_%282025_DC_Open%29_01_%28cropped%29.jpg
Stan Wawrinka,SUI,2020,15,8,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Wawrinka_RG19_%2816%29_%2848199015787%29.jpg/330px-Wawrinka_RG19_%2816%29_%2848199015787%29.jpg
Miomir Kecmanovic,SRB,2020,17,12,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Kecmanovic_RG21_%2811%29_%2851377164760%29.jpg/330px-Kecmanovic_RG21_%2811%29_%2851377164760%29.jpg
Aljaz Bedene,SLO,2020,10,12,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Bedene_RG21_%289%29_%2851376184346%29.jpg/330px-Bedene_RG21_%289%29_%2851376184346%29.jpg
Marton Fucsovics,HUN,2020,14,11,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/M%C3%A1rton_Fucsovics_%282023_US_Open%29_01_%28cropped%29.jpg/330px-M%C3%A1rton_Fucsovics_%282023_US_Open%29_01_%28cropped%29.jpg
Alexander Bublik,KAZ,2020,14,16,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Sascha_Bublik_%282023_DC_Open%29_05_%28cropped%29.jpg/330px-Sascha_Bublik_%282023_DC_Open%29_05_%28cropped%29.jpg
Milos Raonic,CAN,2020,23,10,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Raonic_WM17_%2854%29_%2835793471790%29.jpg/330px-Raonic_WM17_%2854%29_%2835793471790%29.jpg
Filip Krajinovic,SRB,2020,16,12,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Krajinovic_MCM23_%2821%29_%2852882575282%29.jpg/330px-Krajinovic_MCM23_%2821%29_%2852882575282%29.jpg
Laslo Djere,SRB,2020,13,9,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Djere_MCM22_%283%29_%2852036938695%29_edited.jpg/330px-Djere_MCM22_%283%29_%2852036938695%29_edited.jpg
Mikhail Kukushkin,KAZ,2020,6,10,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Kukushkin_WM19_%2819%29_%2848521781006%29.jpg/330px-Kukushkin_WM19_%2819%29_%2848521781006%29.jpg
Adrian Mannarino,FRA,2020,14,17,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Adrian_Mannarino_%282024_DC_Open%29_01_%28cropped%29.jpg/330px-Adrian_Mannarino_%282024_DC_Open%29_01_%28cropped%29.jpg
Tennys Sandgren,USA,2020,8,13,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Tennys_Sandgren_%282023_Cary%29_01_%28cropped%29.jpg/330px-Tennys_Sandgren_%282023_Cary%29_01_%28cropped%29.jpg
Pablo Andujar,ESP,2020,4,12,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Andujar_WM19_%2834%29_%2848521860961%29.jpg/330px-Andujar_WM19_%2834%29_%2848521860961%29.jpg
Kyle Edmund,GBR,2020,10,9,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Edmund_RG18_%2812%29_%2842978900721%29.jpg/330px-Edmund_RG18_%2812%29_%2842978900721%29.jpg
Frances Tiafoe,USA,2020,9,11,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/FrancesTiafo.jpg/330px-FrancesTiafo.jpg
Lorenzo Sonego,ITA,2020,12,14,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Sonego_MCM22_%2822%29_%2852035355412%29.jpg/330px-Sonego_MCM22_%2822%29_%2852035355412%29.jpg
Marco Cecchinato,ITA,2020,8,13,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Cecchinato_RG18_%2842260493614%29.jpg/330px-Cecchinato_RG18_%2842260493614%29.jpg
Albert Ramos,ESP,2020,9,14,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Ramos_Vinolas_MCM22_%284%29_%2852036912745%29.jpg/330px-Ramos_Vinolas_MCM22_%284%29_%2852036912745%29.jpg
Pablo Carreno Busta,ESP,2020,20,12,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Carreno_Busta_MCM22_%287%29_%2852035375722%29.jpg/330px-Carreno_Busta_MCM22_%287%29_%2852035375722%29.jpg
Reilly Opelka,USA,2020,12,8,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Reilly_Opelka_%282024_DC_Open%29_03_%28cropped%29.jpg/330px-Reilly_Opelka_%282024_DC_Open%29_03_%28cropped%29.jpg
Juan Ignacio Londero,ARG,2020,9,10,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Londero_RG19_%2828%29_%2848199195187%29.jpg/330px-Londero_RG19_%2828%29_%2848199195187%29.jpg
Salvatore Caruso,ITA,2020,7,13,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Caruso_RG21_%2849%29_%2851376195376%29.jpg/330px-Caruso_RG21_%2849%29_%2851376195376%29.jpg
Federico Delbonis,ARG,2020,9,12,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Delbonis_MCM22_%287%29_%2852036670954%29.jpg/330px-Delbonis_MCM22_%287%29_%2852036670954%29.jpg
Ugo Humbert,FRA,2020,24,12,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Ugo_Humbert%2C_Swiss_Indoors_Basel_%28cropped%29.jpg/330px-Ugo_Humbert%2C_Swiss_Indoors_Basel_%28cropped%29.jpg
Feliciano Lopez,ESP,2020,7,10,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Lopez_F._RG21_%2810%29_%2851376399843%29.jpg/330px-Lopez_F._RG21_%2810%29_%2851376399843%29.jpg
Vasek Pospisil,CAN,2020,16,10,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Pospisil_WMQ23_%2853061116437%29.jpg/330px-Pospisil_WMQ23_%2853061116437%29.jpg
Jannik Sinner,ITA,2020,20,11,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Jannik_Sinner_2025_US_Open.jpg/330px-Jannik_Sinner_2025_US_Open.jpg
Alejandro Davidovich Fokina,ESP,2020,13,10,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Alejandro_Davidovich_Fokina_%282023_US_Open%29_06_%28cropped%29.jpg/330px-Alejandro_Davidovich_Fokina_%282023_US_Open%29_06_%28cropped%29.jpg
Soon Woo Kwon,KOR,2020,8,7,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Kwon_RG22_%2821%29_%2852144070731%29.jpg/330px-Kwon_RG22_%2821%29_%2852144070731%29.jpg
Egor Gerasimov,BLR,2020,13,10,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Gerasimov_RGQ22_%28114%29_%2852129855729%29.jpg/330px-Gerasimov_RGQ22_%28114%29_%2852129855729%29.jpg
Matteo Berrettini,ITA,2020,9,6,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Matteo_Berrettini_at_2025_Miami_Open_01_%28cropped%29_%28cropped%29.jpg/330px-Matteo_Berrettini_at_2025_Miami_Open_01_%28cropped%29_%28cropped%29.jpg
Marcos Giron,USA,2020,9,9,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Giron_RGQ19_%2842%29_%2848002686247%29.jpg/330px-Giron_RGQ19_%2842%29_%2848002686247%29.jpg
Norbert Gombos,SVK,2020,7,8,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Gombos_MLC22.jpg/330px-Gombos_MLC22.jpg
Federico Coria,ARG,2020,6,9,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Coria_RG22_%284%29_%2852143065527%29.jpg/330px-Coria_RG22_%284%29_%2852143065527%29.jpg
Richard Gasquet,FRA,2020,10,10,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Gasquet_BOR22_%2852084213479%29.jpg/330px-Gasquet_BOR22_%2852084213479%29.jpg
Emil Ruusuvuori,FIN,2020,6,9,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Emil_Ruusuvuori_%282023_DC_Open%29_02_%28cropped%29.jpg/330px-Emil_Ruusuvuori_%282023_DC_Open%29_02_%28cropped%29.jpg
Jiri Vesely,CZE,2020,12,6,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Vesely_MLC21_%2851603150925%29.jpg/330px-Vesely_MLC21_%2851603150925%29.jpg
Frances Tiafoe,USA,2021,33,24,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/FrancesTiafo.jpg/330px-FrancesTiafo.jpg
Soon Woo Kwon,KOR,2021,19,15,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Kwon_RG22_%2821%29_%2852144070731%29.jpg/330px-Kwon_RG22_%2821%29_%2852144070731%29.jpg
Jan Lennard Struff,GER,2021,27,30,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Struff_MCM23_%2837%29_%2852883307264%29.jpg/330px-Struff_MCM23_%2837%29_%2852883307264%29.jpg
John Millman,AUS,2021,23,27,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Millman_WM19_%2817%29_%2848521959092%29.jpg/330px-Millman_WM19_%2817%29_%2848521959092%29.jpg
Lorenzo Musetti,ITA,2021,21,22,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Musetti_MCM23_%2811%29_%2852883593753%29.jpg/330px-Musetti_MCM23_%2811%29_%2852883593753%29.jpg
Joao Sousa,POR,2021,2,14,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Sousa_J._RG22_%2818%29_%2852144295269%29.jpg/330px-Sousa_J._RG22_%2818%29_%2852144295269%29.jpg
Mikhail Kukushkin,KAZ,2021,5,13,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Kukushkin_WM19_%2819%29_%2848521781006%29.jpg/330px-Kukushkin_WM19_%2819%29_%2848521781006%29.jpg
Federico Coria,ARG,2021,16,18,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Coria_RG22_%284%29_%2852143065527%29.jpg/330px-Coria_RG22_%284%29_%2852143065527%29.jpg
Dominik Koepfer,GER,2021,22,26,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Koepfer_RG21_%283%29_%2851375393702%29.jpg/330px-Koepfer_RG21_%283%29_%2851375393702%29.jpg
Facundo Bagnis,ARG,2021,11,12,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Bagnis_RGQ23_%2852943633766%29.jpg/330px-Bagnis_RGQ23_%2852943633766%29.jpg
Miomir Kecmanovic,SRB,2021,14,26,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Kecmanovic_RG21_%2811%29_%2851377164760%29.jpg/330px-Kecmanovic_RG21_%2811%29_%2851377164760%29.jpg
Marcos Giron,USA,2021,23,20,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Giron_RGQ19_%2842%29_%2848002686247%29.jpg/330px-Giron_RGQ19_%2842%29_%2848002686247%29.jpg
Norbert Gombos,SVK,2021,9,14,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Gombos_MLC22.jpg/330px-Gombos_MLC22.jpg
Egor Gerasimov,BLR,2021,16,24,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Gerasimov_RGQ22_%28114%29_%2852129855729%29.jpg/330px-Gerasimov_RGQ22_%28114%29_%2852129855729%29.jpg
Gilles Simon,FRA,2021,5,17,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Simon_WMQ22_%2821%29_%2852191360834%29.jpg/330px-Simon_WMQ22_%2821%29_%2852191360834%29.jpg
Daniel Elahi Galan,COL,2021,11,13,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Daniel_Elahi_Gal%C3%A1n_%282024_DC_Open%29_01_%28cropped%29.jpg/330px-Daniel_Elahi_Gal%C3%A1n_%282024_DC_Open%29_01_%28cropped%29.jpg
Marin Cilic,CRO,2021,33,23,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Cilic_MCM22_%2822%29_%2852036669749%29.jpg/330px-Cilic_MCM22_%2822%29_%2852036669749%29.jpg
Jeremy Chardy,FRA,2021,20,18,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Chardy_RG19_%2816%29_%2848199372621%29.jpg/330px-Chardy_RG19_%2816%29_%2848199372621%29.jpg
Nikoloz Basilashvili,GEO,2021,34,27,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Basilashvili_RG18_%2828110477447%29.jpg/330px-Basilashvili_RG18_%2828110477447%29.jpg
Roberto Carballes Baena,ESP,2021,11,17,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Carballes_Baena_RG19_%282%29_%2848199369226%29.jpg/330px-Carballes_Baena_RG19_%282%29_%2848199369226%29.jpg
Alejandro Davidovich Fokina,ESP,2021,27,23,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Alejandro_Davidovich_Fokina_%282023_US_Open%29_06_%28cropped%29.jpg/330px-Alejandro_Davidovich_Fokina_%282023_US_Open%29_06_%28cropped%29.jpg
Fabio Fognini,ITA,2021,22,24,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Fabio_Fognini_2018_US_Open_%28cropped%29.jpg/330px-Fabio_Fognini_2018_US_Open_%28cropped%29.jpg
Ugo Humbert,FRA,2021,19,20,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Ugo_Humbert%2C_Swiss_Indoors_Basel_%28cropped%29.jpg/330px-Ugo_Humbert%2C_Swiss_Indoors_Basel_%28cropped%29.jpg
Pablo Andujar,ESP,2021,12,18,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Andujar_WM19_%2834%29_%2848521860961%29.jpg/330px-Andujar_WM19_%2834%29_%2848521860961%29.jpg
Lorenzo Sonego,ITA,2021,30,24,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Sonego_MCM22_%2822%29_%2852035355412%29.jpg/330px-Sonego_MCM22_%2822%29_%2852035355412%29.jpg
Taro Daniel,JPN,2021,5,11,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Taro_Daniel_%282025_DC_Open%29_02_%28cropped%29.jpg/330px-Taro_Daniel_%282025_DC_Open%29_02_%28cropped%29.jpg
Karen Khachanov,RUS,2021,35,24,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Karen_Khachanov_%282024_DC_Open%29_02.jpg/330px-Karen_Khachanov_%282024_DC_Open%29_02.jpg
Yoshihito Nishioka,JPN,2021,10,23,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Yoshi_Nishioka_%282023_DC_Open%29_05.jpg/330px-Yoshi_Nishioka_%282023_DC_Open%29_05.jpg
Aslan Karatsev,RUS,2021,34,20,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Karatsev_MCM22_%2827%29_%2852036927495%29.jpg/330px-Karatsev_MCM22_%2827%29_%2852036927495%29.jpg
Ilya Ivashka,BLR,2021,31,17,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Ivashka_MCM22_%281%29_%2852036455488%29.jpg/330px-Ivashka_MCM22_%281%29_%2852036455488%29.jpg
Gael Monfils,FRA,2021,19,18,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Gael_Monfils_%282025_DC_Open%29_01_%28cropped%29.jpg/330px-Gael_Monfils_%282025_DC_Open%29_01_%28cropped%29.jpg
Felix Auger Aliassime,CAN,2021,38,24,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/F%C3%A9lix_Auger-Aliassime_%282023_DC_Open%29_01_%28cropped%29.jpg/330px-F%C3%A9lix_Auger-Aliassime_%282023_DC_Open%29_01_%28cropped%29.jpg
Diego Schwartzman,ARG,2021,38,23,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Schwartzman_WM19_%2824%29_%2848521748281%29.jpg/330px-Schwartzman_WM19_%2824%29_%2848521748281%29.jpg
Hubert Hurkacz,POL,2021,37,23,3,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Hubi_Hurkacz_%282023_DC_Open%29_01.jpg/330px-Hubi_Hurkacz_%282023_DC_Open%29_01.jpg
Pablo Carreno Busta,ESP,2021,38,19,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Carreno_Busta_MCM22_%287%29_%2852035375722%29.jpg/330px-Carreno_Busta_MCM22_%287%29_%2852035375722%29.jpg
Tennys Sandgren,USA,2021,8,16,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Tennys_Sandgren_%282023_Cary%29_01_%28cropped%29.jpg/330px-Tennys_Sandgren_%282023_Cary%29_01_%28cropped%29.jpg
Kei Nishikori,JPN,2021,27,18,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Nishikori_RG18_%2856%29_%2842077294635%29.jpg/330px-Nishikori_RG18_%2856%29_%2842077294635%29.jpg
Andrey Rublev,RUS,2021,55,23,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Andrey_Rublev_%282023_US_Open%29_02_%28cropped%29.jpg/330px-Andrey_Rublev_%282023_US_Open%29_02_%28cropped%29.jpg
Alexander Zverev,GER,2021,60,15,6,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Alexander_Zverev.jpg/330px-Alexander_Zverev.jpg
Stefanos Tsitsipas,GRE,2021,56,19,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Tsitsipas_S._MCM22_%28cropped%29.jpg/330px-Tsitsipas_S._MCM22_%28cropped%29.jpg
Philipp Kohlschreiber,GER,2021,7,9,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Kohlschreiber_WM16_%2814%29_%2827802915683%29.jpg/330px-Kohlschreiber_WM16_%2814%29_%2827802915683%29.jpg
Daniil Medvedev,RUS,2021,63,13,5,1,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Danill_Medvedev_Miami_2019_%28cropped%29.jpg/330px-Danill_Medvedev_Miami_2019_%28cropped%29.jpg
Alexander Bublik,KAZ,2021,35,30,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Sascha_Bublik_%282023_DC_Open%29_05_%28cropped%29.jpg/330px-Sascha_Bublik_%282023_DC_Open%29_05_%28cropped%29.jpg
Novak Djokovic,SRB,2021,56,7,5,3,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Novak_Djokovic_Paris_2024_Olympic_Games_%28cropped%29.jpg/330px-Novak_Djokovic_Paris_2024_Olympic_Games_%28cropped%29.jpg
Pablo Cuevas,URU,2021,9,11,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Pablo_Cuevas_%2847980143553%29_%28cropped%29.jpg/330px-Pablo_Cuevas_%2847980143553%29_%28cropped%29.jpg
Guido Pella,ARG,2021,8,18,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Pella_RG19_%282%29_%2848199164037%29.jpg/330px-Pella_RG19_%282%29_%2848199164037%29.jpg
Alexei Popyrin,AUS,2021,22,22,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Popyrin_RG19_%2846%29_%2848199101562%29.jpg/330px-Popyrin_RG19_%2846%29_%2848199101562%29.jpg
Sebastian Korda,USA,2021,31,18,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Sebastian_Korda_%282023_DC_Open%29_02.jpg/330px-Sebastian_Korda_%282023_DC_Open%29_02.jpg
Andrej Martin,SVK,2021,6,11,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Martin_A._RGQ22_%2825%29_%2852129782779%29.jpg/330px-Martin_A._RGQ22_%2825%29_%2852129782779%29.jpg
Yannick Hanfmann,GER,2021,9,13,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Hanfmann_RGQ23_%2852944097178%29.jpg/330px-Hanfmann_RGQ23_%2852944097178%29.jpg
Mackenzie Mcdonald,USA,2021,18,19,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Mackie_McDonald_%282023_DC_Open%29_01.jpg/330px-Mackie_McDonald_%282023_DC_Open%29_01.jpg
Dusan Lajovic,SRB,2021,18,28,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Lajovic_MCM22_%2824%29_%2852036456588%29.jpg/330px-Lajovic_MCM22_%2824%29_%2852036456588%29.jpg
