name,team_abbr,season_year,position,games,ppg,rpg,apg,spg,bpg,fg_pct,fg3_pct,ts_pct,headshot
Kevin Porter,CAP,1974,G,81,14.0,2.2,5.8,1.2,0.1,0.478,0.0,0.512,
Kevin Porter,WSB,1975,G,81,11.6,1.9,8.0,1.9,0.1,0.491,0.0,0.519,
Kevin Porter,DET,1976,G,19,12.6,2.3,10.2,1.8,0.2,0.421,0.0,0.462,
Kevin Porter,DET,1977,G,81,8.9,1.2,7.3,1.1,0.1,0.512,0.0,0.54,
Kevin Porter,,1978,G,82,15.0,2.6,10.2,1.5,0.2,0.469,0.0,0.516,
Kevin Porter,NJN,1978,G,74,16.2,2.7,10.8,1.6,0.2,0.47,0.0,0.516,
Kevin Porter,DET,1979,G,82,15.4,2.5,13.4,1.9,0.1,0.481,0.0,0.513,
Kevin Porter,WSB,1980,G,70,7.3,1.2,6.5,0.8,0.2,0.459,0.0,0.514,
Kevin Porter,WSB,1981,G,81,13.4,1.5,9.1,1.4,0.1,0.519,0.25,0.561,
Kevin Porter,WSB,1983,G,11,4.3,0.5,4.2,0.9,0.0,0.525,0.0,0.551,
Kevin Pritchard,GS,1991,G,62,3.9,1.0,1.3,0.5,0.1,0.384,0.161,0.462,
Kevin Pritchard,BOS,1992,G,11,4.2,1.0,2.7,0.3,0.4,0.471,0.0,0.549,
Kevin Pritchard,,1995,G,19,2.3,0.6,1.8,0.1,0.1,0.406,0.25,0.533,
Kevin Pritchard,MIA,1995,G,14,3.1,0.8,1.6,0.1,0.1,0.448,0.4,0.589,
Kevin Restani,MIL,1975,F,76,5.4,5.3,1.6,0.5,0.2,0.44,0.0,0.458,
Kevin Restani,MIL,1976,F,82,6.0,4.6,1.2,0.4,0.1,0.475,0.0,0.481,
Kevin Restani,MIL,1977,F,64,5.6,4.1,1.4,0.5,0.2,0.518,0.0,0.52,
