name,team_abbr,season_year,position,games,ppg,rpg,apg,spg,bpg,fg_pct,fg3_pct,ts_pct,headshot
Kevin McKenna,WSB,1986,G,30,5.8,1.2,0.8,1.0,0.1,0.367,0.36,0.485,
Kevin McKenna,NJN,1987,G,56,7.2,1.4,1.7,1.0,0.1,0.454,0.419,0.554,
Kevin McKenna,NJN,1988,G,31,4.1,1.0,1.3,0.5,0.1,0.394,0.32,0.525,
Kevin Ollie,,1998,G,35,3.5,1.1,1.9,0.4,0.0,0.378,0.0,0.477,
Kevin Ollie,DAL,1998,G,16,2.9,1.3,2.0,0.4,0.0,0.333,0.0,0.434,
Kevin Ollie,ORL,1998,G,19,4.1,0.9,1.7,0.4,0.0,0.411,0.0,0.508,
Kevin Ollie,PHI,2000,G,40,1.8,0.8,1.1,0.2,0.0,0.449,0.0,0.551,
Kevin Ollie,,2001,G,70,3.1,1.4,2.1,0.4,0.0,0.396,0.333,0.467,
Kevin Ollie,NJN,2001,G,19,1.2,1.2,1.3,0.3,0.0,0.185,0.0,0.311,
Kevin Ollie,PHI,2001,G,51,3.8,1.4,2.4,0.5,0.0,0.43,0.333,0.495,
Kevin O'Shea,MNL,1951,G,63,4.3,2.0,1.6,0.0,0.0,0.326,0.0,0.416,
Kevin O'Shea,,1952,G,65,6.9,3.1,2.6,0.0,0.0,0.328,0.0,0.403,
Kevin O'Shea,MLH,1952,G,43,6.0,2.8,2.3,0.0,0.0,0.306,0.0,0.368,
Kevin O'Shea,BLB,1952,G,22,8.7,3.6,3.2,0.0,0.0,0.37,0.0,0.462,
Kevin O'Shea,BLB,1953,G,46,4.1,1.7,1.9,0.0,0.0,0.376,0.0,0.423,
Kevin Porter,BAL,1973,G,71,6.6,1.0,3.3,0.0,0.0,0.455,0.0,0.476,
